Date,Hs(m).tot,Tp(s).tot,T1(s).tot,Hs(m).sw,Tp(s).sw,T1(s).sw,Dir(deg).sw,Hs(m).sea,Tp(s).sea,T1(s).sea,Dir(deg).sea
05/01/2017  14:20,1.71,11.76,6.52,1.19,11.76,11.11,226,1.22,7.14,4.69,198
05/01/2017  14:50,1.71,11.11,6.14,1.14,11.11,11.08,225,1.27,6.67,4.52,198
05/01/2017  15:20,1.81,12.5,6.59,1.3,12.5,11.23,229,1.25,6.67,4.56,204
05/01/2017  15:50,1.85,11.76,6.32,1.27,11.76,11.03,224,1.35,6.67,4.6,207
05/01/2017  16:20,1.93,10.53,6.13,1.32,10.53,10.72,225,1.41,7.14,4.46,212
05/01/2017  16:50,1.99,11.76,6.6,1.46,11.76,11.3,225,1.35,5.88,4.45,207
05/01/2017  17:20,1.88,10.53,6.26,1.33,10.53,10.92,236,1.32,6.67,4.37,194
05/01/2017  17:50,2.05,12.5,6.39,1.45,12.5,11.02,222,1.45,7.14,4.5,210
05/01/2017  18:20,2.01,12.5,6.15,1.35,12.5,11.2,229,1.48,5.88,4.48,204
05/01/2017  18:50,2.01,12.5,6.55,1.45,12.5,11.23,225,1.39,5.26,4.5,208
05/01/2017  19:20,1.94,11.11,6.55,1.42,11.11,10.94,221,1.32,6.25,4.47,200
05/01/2017  19:50,1.93,11.76,6.17,1.29,11.76,10.97,226,1.44,5.56,4.57,208
05/01/2017  20:20,2.02,11.76,6.26,1.41,11.76,11.02,229,1.45,5.56,4.43,208
05/01/2017  20:50,1.97,11.76,5.75,1.22,11.76,10.9,228,1.55,5.88,4.45,207
05/01/2017  21:20,2.14,11.11,5.87,1.37,11.11,10.9,221,1.65,5.26,4.45,221
05/01/2017  21:50,2.44,12.5,5.88,1.37,12.5,11.26,221,2.02,5.88,4.82,210
05/01/2017  22:20,2.62,6.25,5.87,1.39,12.5,11.03,218,2.22,6.25,4.96,208
05/01/2017  22:50,2.52,6.67,5.82,1.34,11.11,10.91,224,2.13,6.67,4.92,207
05/01/2017  23:20,2.79,11.76,6.26,1.54,11.76,11.06,221,2.33,6.67,5.27,202
05/01/2017  23:50,2.92,12.5,6.31,1.56,12.5,11.17,221,2.47,7.14,5.37,207
06/01/2017  00:20,2.76,7.14,6.34,1.59,11.76,10.63,221,2.26,7.14,5.28,208
06/01/2017  00:50,2.86,11.76,6.4,1.59,11.76,10.95,229,2.38,7.14,5.4,211
06/01/2017  01:20,2.86,7.14,6.37,1.62,12.5,10.53,245,2.36,7.14,5.36,211
06/01/2017  01:50,2.79,7.14,6.42,1.62,11.76,10.23,225,2.27,7.14,5.4,210
06/01/2017  02:20,2.73,7.69,6.27,1.54,8.33,10.18,222,2.25,7.69,5.31,208
06/01/2017  02:50,2.75,7.69,6.68,1.79,11.11,10.08,228,2.1,7.69,5.37,218
06/01/2017  03:20,2.84,7.69,6.59,1.72,8.33,10.16,222,2.25,7.69,5.47,211
06/01/2017  03:50,2.67,8.33,6.28,1.66,8.33,9.94,218,2.09,7.69,5.09,225
06/01/2017  04:20,2.69,7.69,6.5,1.73,9.09,10.03,229,2.06,7.69,5.21,222
06/01/2017  04:50,2.88,8.33,6.6,1.9,8.33,9.78,222,2.17,7.69,5.29,224
06/01/2017  05:20,2.74,9.09,6.49,1.82,9.09,10.03,225,2.04,7.14,5.07,217
06/01/2017  05:50,2.72,8.33,6.58,1.85,8.33,9.98,226,1.99,7.14,5.09,215
06/01/2017  06:20,2.65,10.53,6.68,1.79,10.53,10.21,226,1.95,7.69,5.18,226
06/01/2017  06:50,2.93,10,7.04,2.13,10,9.96,226,2,7.69,5.29,232
06/01/2017  07:20,3.13,10,7.12,2.33,10,10.13,228,2.09,7.69,5.2,222
06/01/2017  07:50,2.63,10,6.85,1.97,10,10.07,226,1.74,7.69,4.86,222
06/01/2017  08:20,2.84,10.53,6.89,2.09,10.53,10.13,240,1.92,7.69,5,226
06/01/2017  08:50,2.81,9.09,7.05,2.18,9.09,9.96,232,1.76,7.69,4.87,233
06/01/2017  09:20,2.84,10,7.08,2.16,10,10.23,225,1.83,6.25,4.96,210
06/01/2017  09:50,3.01,10,7.42,2.33,10.53,10.37,228,1.9,7.69,5.19,222
06/01/2017  10:20,2.83,10.53,7.12,2.17,10.53,10.51,233,1.82,7.14,4.89,219
06/01/2017  10:50,3.08,11.11,7.55,2.46,11.11,10.34,228,1.85,7.69,5.11,225
06/01/2017  11:20,3.04,10.53,7.34,2.45,10.53,10.25,233,1.8,7.69,4.81,226
06/01/2017  11:50,3,10.53,7.39,2.38,10.53,10.27,236,1.83,7.69,5.01,225
06/01/2017  12:20,2.85,10.53,7.16,2.18,10.53,10.58,225,1.84,7.69,4.93,226
06/01/2017  12:50,3.13,11.11,7.38,2.44,11.11,10.36,233,1.96,7.14,5.12,222
06/01/2017  13:20,2.96,10,7.33,2.27,10,10.5,224,1.9,7.69,5.13,231
06/01/2017  13:50,2.79,10.53,7.16,2.15,10.53,10.67,231,1.77,7.14,4.83,214
06/01/2017  14:20,2.95,10.53,7.4,2.3,10.53,10.49,233,1.85,7.69,5.1,222
