"sizeclass","Sample","Date","Location","Site","SiteNo","Longitude","Latitude","Hs.m.sw","Hs.m.sea","T1.s.sw","T1.s.sea","sst","Count"
"Sublegal","1.1.SM10","2018-05-08","Seven Mile","Seven Mile","-29.21342114.887305",114.887305,-29.21342,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.4,18
"All","1.1.SM11","2018-05-08","Seven Mile","Seven Mile","-29.2145563114.8874305",114.8874305,-29.2145563,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.4,15
"Legal","1.1.SM11","2018-05-08","Seven Mile","Seven Mile","-29.2145563114.8874305",114.8874305,-29.2145563,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.4,1
"Sublegal","1.1.SM11","2018-05-08","Seven Mile","Seven Mile","-29.2145563114.8874305",114.8874305,-29.2145563,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.4,14
"All","1.1.SM12","2018-05-08","Seven Mile","Seven Mile","-29.216695114.8875617",114.8875617,-29.216695,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.4,28
"Legal","1.1.SM12","2018-05-08","Seven Mile","Seven Mile","-29.216695114.8875617",114.8875617,-29.216695,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.4,2
"Sublegal","1.1.SM12","2018-05-08","Seven Mile","Seven Mile","-29.216695114.8875617",114.8875617,-29.216695,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.4,26
"All","1.1.SM13","2018-05-08","Seven Mile","Seven Mile","-29.21595152114.8878359",114.8878359,-29.21595152,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.4,13
"Legal","1.1.SM13","2018-05-08","Seven Mile","Seven Mile","-29.21595152114.8878359",114.8878359,-29.21595152,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.4,0
"Sublegal","1.1.SM13","2018-05-08","Seven Mile","Seven Mile","-29.21595152114.8878359",114.8878359,-29.21595152,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.4,13
"All","1.1.SM14","2018-05-08","Seven Mile","Seven Mile","-29.21709667114.8877917",114.8877917,-29.21709667,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.4,7
"Legal","1.1.SM14","2018-05-08","Seven Mile","Seven Mile","-29.21709667114.8877917",114.8877917,-29.21709667,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.4,0
"Sublegal","1.1.SM14","2018-05-08","Seven Mile","Seven Mile","-29.21709667114.8877917",114.8877917,-29.21709667,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.4,7
"All","1.1.SM15","2018-05-08","Seven Mile","Seven Mile","-29.21709667114.8877917",114.8877917,-29.21709667,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.4,28
"Legal","1.1.SM15","2018-05-08","Seven Mile","Seven Mile","-29.21709667114.8877917",114.8877917,-29.21709667,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.4,1
"Sublegal","1.1.SM15","2018-05-08","Seven Mile","Seven Mile","-29.21709667114.8877917",114.8877917,-29.21709667,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.4,27
"All","1.1.SM16","2018-05-08","Seven Mile","Seven Mile","-29.21843167114.8881917",114.8881917,-29.21843167,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.4,29
"Legal","1.1.SM16","2018-05-08","Seven Mile","Seven Mile","-29.21843167114.8881917",114.8881917,-29.21843167,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.4,1
"Sublegal","1.1.SM16","2018-05-08","Seven Mile","Seven Mile","-29.21843167114.8881917",114.8881917,-29.21843167,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.4,28
"All","1.1.SM17","2018-05-08","Seven Mile","Seven Mile","-29.21943114.8891633",114.8891633,-29.21943,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.4,24
"Legal","1.1.SM17","2018-05-08","Seven Mile","Seven Mile","-29.21943114.8891633",114.8891633,-29.21943,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.4,2
"Sublegal","1.1.SM17","2018-05-08","Seven Mile","Seven Mile","-29.21943114.8891633",114.8891633,-29.21943,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.4,22
"All","1.1.SM18","2018-05-08","Seven Mile","Seven Mile","-29.22016333114.889825",114.889825,-29.22016333,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.4,37
"Legal","1.1.SM18","2018-05-08","Seven Mile","Seven Mile","-29.22016333114.889825",114.889825,-29.22016333,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.4,4
"Sublegal","1.1.SM18","2018-05-08","Seven Mile","Seven Mile","-29.22016333114.889825",114.889825,-29.22016333,1.74041666666667,1.19583333333333,11.6452083333333,4.37666666666667,21.4,33
"All","1.2.CHin2_1","2018-05-09","Cliff Head","Cliff Head South","-29.53732667114.952635",114.952635,-29.53732667,1.85479166666667,0.998125,12.93,4.27875,21.24,0
"Legal","1.2.CHin2_1","2018-05-09","Cliff Head","Cliff Head South","-29.53732667114.952635",114.952635,-29.53732667,1.85479166666667,0.998125,12.93,4.27875,21.24,0
"Sublegal","1.2.CHin2_1","2018-05-09","Cliff Head","Cliff Head South","-29.53732667114.952635",114.952635,-29.53732667,1.85479166666667,0.998125,12.93,4.27875,21.24,0
"All","1.2.CHin2_10","2018-05-09","Cliff Head","Cliff Head South","-29.53640167114.95861",114.95861,-29.53640167,1.85479166666667,0.998125,12.93,4.27875,21.24,2
"Legal","1.2.CHin2_10","2018-05-09","Cliff Head","Cliff Head South","-29.53640167114.95861",114.95861,-29.53640167,1.85479166666667,0.998125,12.93,4.27875,21.24,0
"Sublegal","1.2.CHin2_10","2018-05-09","Cliff Head","Cliff Head South","-29.53640167114.95861",114.95861,-29.53640167,1.85479166666667,0.998125,12.93,4.27875,21.24,2
"All","1.2.CHin2_2","2018-05-09","Cliff Head","Cliff Head South","-29.53827333114.952565",114.952565,-29.53827333,1.85479166666667,0.998125,12.93,4.27875,21.24,1
"Legal","1.2.CHin2_2","2018-05-09","Cliff Head","Cliff Head South","-29.53827333114.952565",114.952565,-29.53827333,1.85479166666667,0.998125,12.93,4.27875,21.24,0
"Sublegal","1.2.CHin2_2","2018-05-09","Cliff Head","Cliff Head South","-29.53827333114.952565",114.952565,-29.53827333,1.85479166666667,0.998125,12.93,4.27875,21.24,1
"All","1.2.CHin2_3","2018-05-09","Cliff Head","Cliff Head South","-29.53918167114.9518767",114.9518767,-29.53918167,1.85479166666667,0.998125,12.93,4.27875,21.24,0
"Legal","1.2.CHin2_3","2018-05-09","Cliff Head","Cliff Head South","-29.53918167114.9518767",114.9518767,-29.53918167,1.85479166666667,0.998125,12.93,4.27875,21.24,0
"Sublegal","1.2.CHin2_3","2018-05-09","Cliff Head","Cliff Head South","-29.53918167114.9518767",114.9518767,-29.53918167,1.85479166666667,0.998125,12.93,4.27875,21.24,0
"All","1.2.CHin2_4","2018-05-09","Cliff Head","Cliff Head South","-29.539555114.95141",114.95141,-29.539555,1.85479166666667,0.998125,12.93,4.27875,21.24,0
"Legal","1.2.CHin2_4","2018-05-09","Cliff Head","Cliff Head South","-29.539555114.95141",114.95141,-29.539555,1.85479166666667,0.998125,12.93,4.27875,21.24,0
"Sublegal","1.2.CHin2_4","2018-05-09","Cliff Head","Cliff Head South","-29.539555114.95141",114.95141,-29.539555,1.85479166666667,0.998125,12.93,4.27875,21.24,0
