"sizeclass","Sample","Count","Date","Location","Site","Longitude","Latitude"
"Legal","1.2.CHin2_50",0,"2018-05-09","Cliff Head","Cliff Head South",114.95819,-29.535765
"Sublegal","1.2.CHin2_50",0,"2018-05-09","Cliff Head","Cliff Head South",114.95819,-29.535765
"All","1.2.CHin2_6",0,"2018-05-09","Cliff Head","Cliff Head South",114.9545183,-29.54230167
"Legal","1.2.CHin2_6",0,"2018-05-09","Cliff Head","Cliff Head South",114.9545183,-29.54230167
"Sublegal","1.2.CHin2_6",0,"2018-05-09","Cliff Head","Cliff Head South",114.9545183,-29.54230167
"All","1.2.CHin2_7",0,"2018-05-09","Cliff Head","Cliff Head South",114.9546315,-29.541984
"Legal","1.2.CHin2_7",0,"2018-05-09","Cliff Head","Cliff Head South",114.9546315,-29.541984
"Sublegal","1.2.CHin2_7",0,"2018-05-09","Cliff Head","Cliff Head South",114.9546315,-29.541984
"All","1.2.CHin2_8",0,"2018-05-09","Cliff Head","Cliff Head South",114.95428,-29.541315
"Legal","1.2.CHin2_8",0,"2018-05-09","Cliff Head","Cliff Head South",114.95428,-29.541315
"Sublegal","1.2.CHin2_8",0,"2018-05-09","Cliff Head","Cliff Head South",114.95428,-29.541315
"All","1.2.CHin2_9",3,"2018-05-09","Cliff Head","Cliff Head South",114.957005,-29.54058667
"Legal","1.2.CHin2_9",0,"2018-05-09","Cliff Head","Cliff Head South",114.957005,-29.54058667
"Sublegal","1.2.CHin2_9",3,"2018-05-09","Cliff Head","Cliff Head South",114.957005,-29.54058667
"All","1.2.CHout2_11",0,"2018-05-09","Cliff Head","Cliff Head North",114.959505,-29.48235167
"Legal","1.2.CHout2_11",0,"2018-05-09","Cliff Head","Cliff Head North",114.959505,-29.48235167
"Sublegal","1.2.CHout2_11",0,"2018-05-09","Cliff Head","Cliff Head North",114.959505,-29.48235167
"All","1.2.CHout2_12",1,"2018-05-09","Cliff Head","Cliff Head North",114.9592736,-29.48233535
"Legal","1.2.CHout2_12",0,"2018-05-09","Cliff Head","Cliff Head North",114.9592736,-29.48233535
"Sublegal","1.2.CHout2_12",1,"2018-05-09","Cliff Head","Cliff Head North",114.9592736,-29.48233535
"All","1.2.CHout2_13",0,"2018-05-09","Cliff Head","Cliff Head North",114.959264,-29.48269887
"Legal","1.2.CHout2_13",0,"2018-05-09","Cliff Head","Cliff Head North",114.959264,-29.48269887
"Sublegal","1.2.CHout2_13",0,"2018-05-09","Cliff Head","Cliff Head North",114.959264,-29.48269887
"All","1.2.CHout2_14",0,"2018-05-09","Cliff Head","Cliff Head North",114.9591092,-29.47833951
"Legal","1.2.CHout2_14",0,"2018-05-09","Cliff Head","Cliff Head North",114.9591092,-29.47833951
"Sublegal","1.2.CHout2_14",0,"2018-05-09","Cliff Head","Cliff Head North",114.9591092,-29.47833951
"All","1.2.CHout2_15",0,"2018-05-09","Cliff Head","Cliff Head North",114.9594917,-29.47792667
"Legal","1.2.CHout2_15",0,"2018-05-09","Cliff Head","Cliff Head North",114.9594917,-29.47792667
"Sublegal","1.2.CHout2_15",0,"2018-05-09","Cliff Head","Cliff Head North",114.9594917,-29.47792667
"All","1.2.CHout2_16",1,"2018-05-09","Cliff Head","Cliff Head North",114.9591974,-29.47767821
"Legal","1.2.CHout2_16",0,"2018-05-09","Cliff Head","Cliff Head North",114.9591974,-29.47767821
"Sublegal","1.2.CHout2_16",1,"2018-05-09","Cliff Head","Cliff Head North",114.9591974,-29.47767821
"All","1.2.CHout2_17",0,"2018-05-09","Cliff Head","Cliff Head North",114.95965,-29.47762
"Legal","1.2.CHout2_17",0,"2018-05-09","Cliff Head","Cliff Head North",114.95965,-29.47762
"Sublegal","1.2.CHout2_17",0,"2018-05-09","Cliff Head","Cliff Head North",114.95965,-29.47762
"All","1.2.CHout2_18",2,"2018-05-09","Cliff Head","Cliff Head North",114.9589283,-29.48259167
"Legal","1.2.CHout2_18",2,"2018-05-09","Cliff Head","Cliff Head North",114.9589283,-29.48259167
"Sublegal","1.2.CHout2_18",0,"2018-05-09","Cliff Head","Cliff Head North",114.9589283,-29.48259167
"All","1.2.CHout2_19",3,"2018-05-09","Cliff Head","Cliff Head North",114.958065,-29.48339833
"Legal","1.2.CHout2_19",0,"2018-05-09","Cliff Head","Cliff Head North",114.958065,-29.48339833
"Sublegal","1.2.CHout2_19",3,"2018-05-09","Cliff Head","Cliff Head North",114.958065,-29.48339833
"All","1.2.CHout2_20",0,"2018-05-09","Cliff Head","Cliff Head North",114.95817,-29.48388167
"Legal","1.2.CHout2_20",0,"2018-05-09","Cliff Head","Cliff Head North",114.95817,-29.48388167
"Sublegal","1.2.CHout2_20",0,"2018-05-09","Cliff Head","Cliff Head North",114.95817,-29.48388167
"All","1.2.JB21",11,"2018-05-09","White Point","White Point",114.8950433,-29.422275
"Legal","1.2.JB21",0,"2018-05-09","White Point","White Point",114.8950433,-29.422275
"Sublegal","1.2.JB21",11,"2018-05-09","White Point","White Point",114.8950433,-29.422275
"All","1.2.JB22",6,"2018-05-09","White Point","White Point",114.8951633,-29.42109167
"Legal","1.2.JB22",0,"2018-05-09","White Point","White Point",114.8951633,-29.42109167
"Sublegal","1.2.JB22",6,"2018-05-09","White Point","White Point",114.8951633,-29.42109167
"All","1.2.JB23",0,"2018-05-09","White Point","White Point",114.8968133,-29.41871
"Legal","1.2.JB23",0,"2018-05-09","White Point","White Point",114.8968133,-29.41871
"Sublegal","1.2.JB23",0,"2018-05-09","White Point","White Point",114.8968133,-29.41871
"All","1.2.JB24",1,"2018-05-09","White Point","White Point",114.8974733,-29.42045
"Legal","1.2.JB24",1,"2018-05-09","White Point","White Point",114.8974733,-29.42045
"Sublegal","1.2.JB24",0,"2018-05-09","White Point","White Point",114.8974733,-29.42045
"All","1.2.JB25",7,"2018-05-09","White Point","White Point",114.8976733,-29.42264667
"Legal","1.2.JB25",1,"2018-05-09","White Point","White Point",114.8976733,-29.42264667
"Sublegal","1.2.JB25",6,"2018-05-09","White Point","White Point",114.8976733,-29.42264667
"All","1.2.LH41",0,"2018-05-09","Little Horseshoe","Little Horseshoe",114.9200133,-29.45972
"Legal","1.2.LH41",0,"2018-05-09","Little Horseshoe","Little Horseshoe",114.9200133,-29.45972
"Sublegal","1.2.LH41",0,"2018-05-09","Little Horseshoe","Little Horseshoe",114.9200133,-29.45972
"All","1.2.LH42",0,"2018-05-09","Little Horseshoe","Little Horseshoe",114.9212717,-29.459085
"Legal","1.2.LH42",0,"2018-05-09","Little Horseshoe","Little Horseshoe",114.9212717,-29.459085
"Sublegal","1.2.LH42",0,"2018-05-09","Little Horseshoe","Little Horseshoe",114.9212717,-29.459085
"All","1.2.LH43",0,"2018-05-09","Little Horseshoe","Little Horseshoe",114.9213767,-29.45856833
"Legal","1.2.LH43",0,"2018-05-09","Little Horseshoe","Little Horseshoe",114.9213767,-29.45856833
"Sublegal","1.2.LH43",0,"2018-05-09","Little Horseshoe","Little Horseshoe",114.9213767,-29.45856833
"All","1.2.LH44",0,"2018-05-09","Little Horseshoe","Little Horseshoe",114.9221567,-29.4581
"Legal","1.2.LH44",0,"2018-05-09","Little Horseshoe","Little Horseshoe",114.9221567,-29.4581
"Sublegal","1.2.LH44",0,"2018-05-09","Little Horseshoe","Little Horseshoe",114.9221567,-29.4581
"All","1.2.LH45",0,"2018-05-09","Little Horseshoe","Little Horseshoe",114.921565,-29.45814167
"Legal","1.2.LH45",0,"2018-05-09","Little Horseshoe","Little Horseshoe",114.921565,-29.45814167
"Sublegal","1.2.LH45",0,"2018-05-09","Little Horseshoe","Little Horseshoe",114.921565,-29.45814167
"All","1.2.SM26",40,"2018-05-09","Seven Mile","Seven Mile",114.8900862,-29.22117218
"Legal","1.2.SM26",2,"2018-05-09","Seven Mile","Seven Mile",114.8900862,-29.22117218
"Sublegal","1.2.SM26",38,"2018-05-09","Seven Mile","Seven Mile",114.8900862,-29.22117218
"All","1.2.SM27",11,"2018-05-09","Seven Mile","Seven Mile",114.88938,-29.22019
"Legal","1.2.SM27",0,"2018-05-09","Seven Mile","Seven Mile",114.88938,-29.22019
"Sublegal","1.2.SM27",11,"2018-05-09","Seven Mile","Seven Mile",114.88938,-29.22019
"All","1.2.SM28",9,"2018-05-09","Seven Mile","Seven Mile",114.889235,-29.21938833
"Legal","1.2.SM28",0,"2018-05-09","Seven Mile","Seven Mile",114.889235,-29.21938833
"Sublegal","1.2.SM28",9,"2018-05-09","Seven Mile","Seven Mile",114.889235,-29.21938833
"All","1.2.SM29",37,"2018-05-09","Seven Mile","Seven Mile",114.888355,-29.21844167
"Legal","1.2.SM29",0,"2018-05-09","Seven Mile","Seven Mile",114.888355,-29.21844167
"Sublegal","1.2.SM29",37,"2018-05-09","Seven Mile","Seven Mile",114.888355,-29.21844167
"All","1.2.SM30",6,"2018-05-09","Seven Mile","Seven Mile",114.8884933,-29.21767
"Legal","1.2.SM30",1,"2018-05-09","Seven Mile","Seven Mile",114.8884933,-29.21767
"Sublegal","1.2.SM30",5,"2018-05-09","Seven Mile","Seven Mile",114.8884933,-29.21767
"All","1.2.SM31",26,"2018-05-09","Seven Mile","Seven Mile",114.8878783,-29.21713
"Legal","1.2.SM31",2,"2018-05-09","Seven Mile","Seven Mile",114.8878783,-29.21713
"Sublegal","1.2.SM31",24,"2018-05-09","Seven Mile","Seven Mile",114.8878783,-29.21713
"All","1.2.SM32",0,"2018-05-09","Seven Mile","Seven Mile",114.8877733,-29.21659167
"Legal","1.2.SM32",0,"2018-05-09","Seven Mile","Seven Mile",114.8877733,-29.21659167
"Sublegal","1.2.SM32",0,"2018-05-09","Seven Mile","Seven Mile",114.8877733,-29.21659167
"All","1.2.SM33",10,"2018-05-09","Seven Mile","Seven Mile",114.88795,-29.21598667
"Legal","1.2.SM33",0,"2018-05-09","Seven Mile","Seven Mile",114.88795,-29.21598667
