Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,Comment,Source,Trip,Day,Site.code,Pot.number,Day.pull,Pot.type,Pwo,Pwf,Wkw
4.3.JB40,-29.42442,114.89539,20180815,12:00:00,Irwin Reef,Fished,White Point,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,3,JB,40,1,13,1,,
4.3.JB43,-29.42019,114.8864,20180815,12:00:00,Irwin Reef,Fished,White Point,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,3,JB,43,1,13,,,
4.3.JB25,-29.42398,114.89535,20180815,12:00:00,Irwin Reef,Fished,White Point,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,3,JB,25,1,13,,,
4.3.JB30,-29.42347,114.89525,20180815,12:00:00,Irwin Reef,Fished,White Point,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,3,JB,30,1,13,,,
4.3.JB19,-29.42325,114.89528,20180815,12:00:00,Irwin Reef,Fished,White Point,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,3,JB,19,1,13,,,
4.3.JB4,-29.4229,114.89505,20180815,12:00:00,Irwin Reef,Fished,White Point,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,3,JB,4,1,13,,,
4.3.JB7,-29.423,114.89771,20180815,12:00:00,Irwin Reef,Fished,White Point,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,3,JB,7,1,13,,,
4.3.JB38,-29.42269,114.89746,20180815,12:00:00,Irwin Reef,Fished,White Point,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,3,JB,38,1,13,,,
4.3.JB50,-29.42067,114.89766,20180815,12:00:00,Irwin Reef,Fished,White Point,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,3,JB,50,1,13,,,
4.3.JB17,-29.42018,114.89765,20180815,12:00:00,Irwin Reef,Fished,White Point,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,3,JB,17,1,13,,,
4.3.WL16,-29.38501,114.88646,20180815,12:00:00,Irwin Reef,Fished,Whites Lump,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,3,WL,16,1,13,,,
4.3.WL28,-29.38431,114.88575,20180815,12:00:00,Irwin Reef,Fished,Whites Lump,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,3,WL,28,1,13,1,,
4.3.WL32,-29.38377,114.88652,20180815,12:00:00,Irwin Reef,Fished,Whites Lump,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,3,WL,32,1,13,,,
4.3.WL15,-29.38338,114.88733,20180815,12:00:00,Irwin Reef,Fished,Whites Lump,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,3,WL,15,1,13,,,
4.3.WL18,-29.38285,114.88721,20180815,12:00:00,Irwin Reef,Fished,Whites Lump,0,Ash Miller,Yes,Yes,Crab (2),Dongara.Millers.Masters,4,3,WL,18,1,13,,,
4.3.WL27,-29.383,114.88797,20180815,12:00:00,Irwin Reef,Fished,Whites Lump,0,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,4,3,WL,27,1,13,,,
4.3.WL34,-29.38325,114.88841,20180815,12:00:00,Irwin Reef,Fished,Whites Lump,0,Ash Miller,Yes,Yes,Crab (1),Dongara.Millers.Masters,4,3,WL,34,1,13,,,
