"Source","Sample","Trip","Day","Site.code","Pot.number","Location","Site","Date","Day.pull","Latitude","Longitude","Depth.lidar","Pot.type","Comment","Pwo","Pwf","Repeated.samples","Depth.echosounder","Distance.from.shore.perpendicular.kilometer","Distance.from.shore.nearestpoint.kilometer","Days.from.new.moon","Slope","Aspect","Rugosity","Curvature","Curv.plan","Curv.profile","Sd.10m","Sd.15m","Sd.20m","Sd.25m","Sd.50m","Sd.75m","Sd.100m","Sd.200m","Sd.500m","Sd.1000m","Puerulus.count.1k","Puerulus.count.2k","Puerulus.count.3k","Substrate","Wkw","Successful.count","Successful.length","Time","Status","Depth","Observer","CampaignID"
"Dongara.Canons.Masters","1.SM10F17","0","1","SM10","17","Seven Mile","Seven Mile Mid","20171127","1","-29.18002","114.88117","12.96","F",NA,NA,NA,"1","10","1.25","1.07","9","0.86476","327.20401","1.00015","0.86762","0.21626","-0.65136","0.06774","0.11784","0.15486","0.20884","0.48137","1.09946","1.47802","2.18608","4.24726","5.42956",NA,"28.666","28.666","Sand",NA,"Yes","Yes","12:00:00","Fished","12.96","Oscar Doncel Canon","2017-11_Dongara.Canons.Masters_Trapping"
"Dongara.Canons.Masters","1.SM10C18","0","1","SM10","18","Seven Mile","Seven Mile Mid","20171127","1","-29.18059","114.88195","10.78","C",NA,NA,NA,"1","10","1.24","1","9","5.77435","132.83501","1.00266","-0.55136","0.78914","1.34049","0.53833","0.75552","0.87791","0.99062","1.33388","1.53176","1.67439","2.26686","4.32171","5.49206",NA,"28.666","28.666","Sand",NA,"Yes","Yes","12:00:00","Fished","10.78","Oscar Doncel Canon","2017-11_Dongara.Canons.Masters_Trapping"
"Dongara.Canons.Masters","1.SM17C1","0","1","SM17","1","Seven Mile","Seven Mile Mid","20171127","1","-29.17767","114.87071","18.63","C",NA,NA,NA,"1","17","2.37","1.86","9","0.29471","198.15601","1.00015","-0.88021","-0.54243","0.33778","0.06291","0.10425","0.12495","0.16493","0.36834","0.48958","0.5097","0.76545","1.2255","2.08056",NA,NA,"28.666","Sand",NA,"Yes","Yes","12:00:00","Fished","18.63","Oscar Doncel Canon","2017-11_Dongara.Canons.Masters_Trapping"
"Dongara.Canons.Masters","1.SM17F2","0","1","SM17","2","Seven Mile","Seven Mile Mid","20171127","1","-29.17833","114.86995","18.92","F",NA,NA,NA,"1","17","2.48","1.96","9","0.72676","269.73001","1.0003","-1.4064","-0.64759","0.7588","0.07302","0.09814","0.14717","0.18999","0.38262","0.51301","0.54006","0.67235","1.25785","1.72976",NA,NA,"28.666","Sand",NA,"Yes","Yes","12:00:00","Fished","18.92","Oscar Doncel Canon","2017-11_Dongara.Canons.Masters_Trapping"
"Dongara.Canons.Masters","1.SM17C3","0","1","SM17","3","Seven Mile","Seven Mile Mid","20171127","1","-29.17898","114.86988","19.07","C",NA,NA,NA,"1","17","2.48","1.99","9","1.22336","97.7137","1.00029","1.47636","0.39048","-1.08588","0.11288","0.16792","0.20025","0.22787","0.33967","0.49529","0.63473","0.67302","1.22626","1.65648",NA,NA,"28.666","Sand",NA,"Yes","Yes","12:00:00","Fished","19.07","Oscar Doncel Canon","2017-11_Dongara.Canons.Masters_Trapping"
"Dongara.Canons.Masters","1.SM17F4","0","1","SM17","4","Seven Mile","Seven Mile Mid","20171127","1","-29.17958","114.87056","18.11","F",NA,NA,NA,"1","17","2.4","1.96","9","1.78237","51.1808","1.00011","0.6823","0.25681","-0.42549","0.14739","0.20514","0.253","0.29697","0.38707","0.4688","0.56687","0.71257","1.19457","1.7201",NA,NA,"28.666","Sand",NA,"Yes","Yes","12:00:00","Fished","18.11","Oscar Doncel Canon","2017-11_Dongara.Canons.Masters_Trapping"
"Dongara.Canons.Masters","1.SM17C5","0","1","SM17","5","Seven Mile","Seven Mile Mid","20171127","1","-29.17999","114.87098","17.8","C",NA,NA,NA,"1","17","2.38","1.94","9","0.54273","193.84","1.00016","0.64372","0.08513","-0.55859","0.05985","0.06997","0.07452","0.07979","0.22763","0.34653","0.43351","0.7192","1.16503","1.76498",NA,NA,"28.666","Sand",NA,"Yes","Yes","12:00:00","Fished","17.8","Oscar Doncel Canon","2017-11_Dongara.Canons.Masters_Trapping"
"Dongara.Canons.Masters","1.SM17C6","0","1","SM17","6","Seven Mile","Seven Mile Mid","20171127","1","-29.1802","114.87156","17.82","C",NA,NA,NA,"1","17","2.32","1.9","9","0.65932","234.931","1.00031","0.37784","0.37221","-0.00563","0.0762","0.10779","0.10687","0.10612","0.12573","0.14251","0.24646","0.64372","1.13059","1.91572",NA,NA,"28.666","Sand",NA,"Yes","Yes","12:00:00","Fished","17.82","Oscar Doncel Canon","2017-11_Dongara.Canons.Masters_Trapping"
"Dongara.Canons.Masters","1.SM17F7","0","1","SM17","7","Seven Mile","Seven Mile Mid","20171127","1","-29.18036","114.87195","17.8","F",NA,NA,NA,"1","17","2.27","1.87","9","0.72952","328.90601","1.00013","-1.05657","-0.43863","0.61794","0.07522","0.08832","0.08788","0.0914","0.12779","0.1394","0.18288","0.54509","1.10016","2.03033",NA,"28.666","28.666","Sand",NA,"Yes","Yes","12:00:00","Fished","17.8","Oscar Doncel Canon","2017-11_Dongara.Canons.Masters_Trapping"
"Dongara.Canons.Masters","1.SM17C8","0","1","SM17","8","Seven Mile","Seven Mile Mid","20171127","1","-29.18077","114.87263","17.38","C",NA,NA,NA,"1","17","2.28","1.84","9","0.45627","121.038","1.00002","-0.049","-0.05633","-0.00734","0.04005","0.05183","0.07144","0.09621","0.16373","0.18094","0.18396","0.38039","1.02635","2.20085",NA,"28.666","28.666","Sand",NA,"Yes","Yes","12:00:00","Fished","17.38","Oscar Doncel Canon","2017-11_Dongara.Canons.Masters_Trapping"
"Dongara.Canons.Masters","1.SM17C9","0","1","SM17","9","Seven Mile","Seven Mile Mid","20171127","1","-29.18114","114.8734","17.45","C",NA,NA,NA,"1","17","2.19","1.8","9","0.34288","117.224","1.00006","-0.39542","-0.31403","0.08138","0.03949","0.04499","0.04855","0.05863","0.11106","0.15899","0.20121","0.26883","0.93937","2.46801",NA,"28.666","28.666","Sand",NA,"Yes","Yes","12:00:00","Fished","17.45","Oscar Doncel Canon","2017-11_Dongara.Canons.Masters_Trapping"
"Dongara.Canons.Masters","1.SM17F10","0","1","SM17","10","Seven Mile","Seven Mile Mid","20171127","1","-29.18159","114.87381","17.73","F",NA,NA,NA,"1","17","2.14","1.79","9","0.40523","59.2232","1.00004","0.05258","0.15454","0.10196","0.0532","0.06572","0.08264","0.10477","0.20107","0.24099","0.24618","0.28666","0.87658","2.58591",NA,"28.666","28.666","Sand",NA,"Yes","Yes","12:00:00","Fished","17.73","Oscar Doncel Canon","2017-11_Dongara.Canons.Masters_Trapping"
"Dongara.Canons.Masters","1.SM17C11","0","1","SM17","11","Seven Mile","Seven Mile Mid","20171127","1","-29.18206","114.87433","18.03","C",NA,NA,NA,"1","17","2.09","1.76","9","0.34497","48.1014","1.0004","-1.42739","-0.38326","1.04413","0.06964","0.08085","0.1066","0.12163","0.13636","0.15291","0.16796","0.2868","0.80752","2.72449",NA,"28.666","28.666","Sand",NA,"Yes","Yes","12:00:00","Fished","18.03","Oscar Doncel Canon","2017-11_Dongara.Canons.Masters_Trapping"
"Dongara.Canons.Masters","1.SM17C12","0","1","SM17","12","Seven Mile","Seven Mile Mid","20171127","1","-29.18272","114.87478","17.85","C",NA,NA,NA,"1","17","2.04","1.72","9","1.09317","191.24001","1.00037","-0.75566","-0.40445","0.35121","0.09055","0.07108","0.06372","0.06812","0.11955","0.1376","0.16738","0.25405","0.74953","2.78626",NA,"28.666","28.666","Sand",NA,"Yes","Yes","12:00:00","Fished","17.85","Oscar Doncel Canon","2017-11_Dongara.Canons.Masters_Trapping"
"Dongara.Canons.Masters","1.SM17F13","0","1","SM17","13","Seven Mile","Seven Mile Mid","20171127","1","-29.18301","114.87531","17.87","F",NA,NA,NA,"1","17","1.98","1.68","9","0.75836","209.228","1.00002","0.17495","0.05961","-0.11534","0.07554","0.07186","0.0707","0.08131","0.11856","0.19015","0.18099","0.30231","0.71004","2.97321",NA,"28.666","28.666","Sand",NA,"Yes","Yes","12:00:00","Fished","17.87","Oscar Doncel Canon","2017-11_Dongara.Canons.Masters_Trapping"
"Dongara.Canons.Masters","1.SM17C14","0","1","SM17","14","Seven Mile","Seven Mile Mid","20171127","1","-29.18357","114.87544","17.69","C",NA,NA,NA,"1","17","2.12","1.68","9","0.57837","28.2916","1.00014","-0.34983","-0.03175","0.31808","0.05027","0.06372","0.08807","0.09715","0.14553","0.16408","0.15413","0.31454","0.68558","2.91968",NA,"28.666","28.666","Sand",NA,"Yes","Yes","12:00:00","Fished","17.69","Oscar Doncel Canon","2017-11_Dongara.Canons.Masters_Trapping"
