,Lon,Lat,z
156,113.7994048,-23.6,4.63E-32
157,113.8071429,-23.6,3.65E-32
158,113.814881,-23.6,2.85E-32
159,113.822619,-23.6,2.21E-32
160,113.8303571,-23.6,1.70E-32
161,113.8380952,-23.6,1.30E-32
162,113.8458333,-23.6,9.83E-33
163,113.8535714,-23.6,7.37E-33
164,113.8613095,-23.6,5.49E-33
165,113.8690476,-23.6,4.05E-33
166,113.8767857,-23.6,2.97E-33
167,113.8845238,-23.6,2.15E-33
168,113.8922619,-23.6,1.55E-33
169,113.9,-23.6,1.11E-33
170,112.6,-23.61130952,6.53E-53
171,112.6077381,-23.61130952,1.85E-52
172,112.6154762,-23.61130952,5.18E-52
173,112.6232143,-23.61130952,1.44E-51
174,112.6309524,-23.61130952,3.97E-51
175,112.6386905,-23.61130952,1.09E-50
176,112.6464286,-23.61130952,2.95E-50
177,112.6541667,-23.61130952,7.93E-50
178,112.6619048,-23.61130952,2.12E-49
179,112.6696429,-23.61130952,5.60E-49
180,112.677381,-23.61130952,1.47E-48
181,112.685119,-23.61130952,3.83E-48
182,112.6928571,-23.61130952,9.88E-48
183,112.7005952,-23.61130952,2.53E-47
184,112.7083333,-23.61130952,6.43E-47
185,112.7160714,-23.61130952,1.62E-46
186,112.7238095,-23.61130952,4.05E-46
187,112.7315476,-23.61130952,1.00E-45
188,112.7392857,-23.61130952,2.46E-45
189,112.7470238,-23.61130952,6.01E-45
190,112.7547619,-23.61130952,1.45E-44
191,112.7625,-23.61130952,3.48E-44
192,112.7702381,-23.61130952,8.28E-44
193,112.7779762,-23.61130952,1.95E-43
194,112.7857143,-23.61130952,4.57E-43
195,112.7934524,-23.61130952,1.06E-42
196,112.8011905,-23.61130952,2.44E-42
197,112.8089286,-23.61130952,5.56E-42
198,112.8166667,-23.61130952,1.26E-41
199,112.8244048,-23.61130952,2.82E-41
200,112.8321429,-23.61130952,6.29E-41
201,112.839881,-23.61130952,1.39E-40
202,112.847619,-23.61130952,3.04E-40
203,112.8553571,-23.61130952,6.60E-40
204,112.8630952,-23.61130952,1.42E-39
205,112.8708333,-23.61130952,3.04E-39
206,112.8785714,-23.61130952,6.44E-39
207,112.8863095,-23.61130952,1.35E-38
208,112.8940476,-23.61130952,2.82E-38
209,112.9017857,-23.61130952,5.83E-38
210,112.9095238,-23.61130952,1.20E-37
211,112.9172619,-23.61130952,2.43E-37
212,112.925,-23.61130952,4.90E-37
213,112.9327381,-23.61130952,9.80E-37
214,112.9404762,-23.61130952,1.94E-36
215,112.9482143,-23.61130952,3.83E-36
216,112.9559524,-23.61130952,7.47E-36
217,112.9636905,-23.61130952,1.44E-35
218,112.9714286,-23.61130952,2.77E-35
219,112.9791667,-23.61130952,5.28E-35
220,112.9869048,-23.61130952,9.97E-35
221,112.9946429,-23.61130952,1.87E-34
222,113.002381,-23.61130952,3.47E-34
223,113.010119,-23.61130952,6.39E-34
224,113.0178571,-23.61130952,1.17E-33
225,113.0255952,-23.61130952,2.11E-33
226,113.0333333,-23.61130952,3.80E-33
227,113.0410714,-23.61130952,6.77E-33
228,113.0488095,-23.61130952,1.20E-32
229,113.0565476,-23.61130952,2.10E-32
230,113.0642857,-23.61130952,3.65E-32
231,113.0720238,-23.61130952,6.29E-32
232,113.0797619,-23.61130952,1.08E-31
233,113.0875,-23.61130952,1.82E-31
234,113.0952381,-23.61130952,3.07E-31
235,113.1029762,-23.61130952,5.12E-31
236,113.1107143,-23.61130952,8.48E-31
237,113.1184524,-23.61130952,1.39E-30
238,113.1261905,-23.61130952,2.26E-30
239,113.1339286,-23.61130952,3.66E-30
240,113.1416667,-23.61130952,5.85E-30
241,113.1494048,-23.61130952,9.30E-30
242,113.1571429,-23.61130952,1.46E-29
243,113.164881,-23.61130952,2.29E-29
244,113.172619,-23.61130952,3.54E-29
245,113.1803571,-23.61130952,5.45E-29
246,113.1880952,-23.61130952,8.30E-29
