Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,Comment,Source,Trip,Day,Site.code,Pot.number,Day.pull,Depth.lidar,Pot.type,Pwo,Wkw
1.1.SM14,-29.21709667,114.8877917,20180508,12:00:00,Seven Mile,Fished,Seven Mile,13.34,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,1,1,SM,14,1,13.34,13,,
1.1.SM15,-29.21709667,114.8877917,20180508,12:00:00,Seven Mile,Fished,Seven Mile,12.711,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,1,1,SM,15,1,12.711,13,,
1.1.SM16,-29.21843167,114.8881917,20180508,12:00:00,Seven Mile,Fished,Seven Mile,10.72,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,1,1,SM,16,1,10.72,13,,
1.1.SM17,-29.21943,114.8891633,20180508,12:00:00,Seven Mile,Fished,Seven Mile,14.729,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,1,1,SM,17,1,14.729,13,,
1.1.SM18,-29.22016333,114.889825,20180508,12:00:00,Seven Mile,Fished,Seven Mile,16.171,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,1,1,SM,18,1,16.171,13,,
1.2.SM26,-29.22117218,114.8900862,20180509,12:00:00,Seven Mile,Fished,Seven Mile,16.282,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,1,2,SM,26,1,16.282,13,,
1.2.SM27,-29.22019,114.88938,20180509,12:00:00,Seven Mile,Fished,Seven Mile,14.551,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,1,2,SM,27,1,14.551,13,,
1.2.SM28,-29.21938833,114.889235,20180509,12:00:00,Seven Mile,Fished,Seven Mile,15.622,Ash Miller,Yes,Yes,Wobbegong 0.8 m (1),Dongara.Millers.Masters,1,2,SM,28,1,15.622,13,,
1.2.SM29,-29.21844167,114.888355,20180509,12:00:00,Seven Mile,Fished,Seven Mile,16.332,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,1,2,SM,29,1,16.332,13,,
1.2.SM30,-29.21767,114.8884933,20180509,12:00:00,Seven Mile,Fished,Seven Mile,15.341,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,1,2,SM,30,1,15.341,13,,
1.2.SM31,-29.21713,114.8878783,20180509,12:00:00,Seven Mile,Fished,Seven Mile,11.859,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,1,2,SM,31,1,11.859,13,,
1.2.SM32,-29.21659167,114.8877733,20180509,12:00:00,Seven Mile,Fished,Seven Mile,12.711,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,1,2,SM,32,1,12.711,13,,
1.2.SM33,-29.21598667,114.88795,20180509,12:00:00,Seven Mile,Fished,Seven Mile,14.411,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,1,2,SM,33,1,14.411,13,,
1.2.SM34,-29.215525,114.888185,20180509,12:00:00,Seven Mile,Fished,Seven Mile,14.763,Ash Miller,Yes,Yes,Crab (1),Dongara.Millers.Masters,1,2,SM,34,1,14.763,13,,
1.2.SM35,-29.21334167,114.8873317,20180509,12:00:00,Seven Mile,Fished,Seven Mile,11.031,Ash Miller,Yes,Yes,Crab (1),Dongara.Millers.Masters,1,2,SM,35,1,11.031,13,,
1.1.JB29,-29.41449,114.905485,20180508,12:00:00,Irwin Reef,Fished,White Point,12.951,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,1,1,JB,29,1,12.951,13,,
1.1.JB30,-29.41642167,114.9041683,20180508,12:00:00,Irwin Reef,Fished,White Point,11.001,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,1,1,JB,30,1,11.001,13,,
1.1.JB31,-29.41985667,114.8975467,20180508,12:00:00,Irwin Reef,Fished,White Point,15.961,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,1,1,JB,31,1,15.961,13,,
1.1.JB32,-29.42218333,114.895545,20180508,12:00:00,Irwin Reef,Fished,White Point,12.471,Ash Miller,Yes,Yes,Port Jackson shark 0.75m (1),Dongara.Millers.Masters,1,1,JB,32,1,12.471,13,,
1.1.JB33,-29.42608,114.8962333,20180508,12:00:00,Irwin Reef,Fished,White Point,15.901,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,1,1,JB,33,1,15.901,13,,
1.2.JB21,-29.422275,114.8950433,20180509,12:00:00,Irwin Reef,Fished,White Point,14.051,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,1,2,JB,21,1,14.051,13,,1
1.2.JB22,-29.42109167,114.8951633,20180509,12:00:00,Irwin Reef,Fished,White Point,16.452,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,1,2,JB,22,1,16.452,13,,
1.2.JB23,-29.41871,114.8968133,20180509,12:00:00,Irwin Reef,Fished,White Point,12.351,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,1,2,JB,23,1,12.351,13,,
1.2.JB24,-29.42045,114.8974733,20180509,12:00:00,Irwin Reef,Fished,White Point,14.793,Ash Miller,Yes,Yes,,Dongara.Millers.Masters,1,2,JB,24,1,14.793,13,,
1.2.JB25,-29.42264667,114.8976733,20180509,12:00:00,Irwin Reef,Fished,White Point,10.82,Ash Miller,Yes,Yes,Wobbegong 1.5 m (1),Dongara.Millers.Masters,1,2,JB,25,1,10.82,13,,
